127.0.0.1_29001 -> 12:49:06.544632 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.606163 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.606274 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.667717 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.667725 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.729564 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.729656 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.790910 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.791032 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.852844 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.852982 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.914351 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.914446 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.976262 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.976262 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.037091 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.037361 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.098000 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.098163 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.159931 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.160012 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.222170 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.222280 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.283383 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.283404 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.345153 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.345247 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:07.408457 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:07.408773 raft.go:442: TICKER representante de nodo 2
